transaction_id,case_id,sender_account,receiver_account,amount,timestamp,transaction_type
T0053_04,C0053,A0053_4,A0053_5,23858,2026-05-10 03:49:00,Transfer
T0053_05,C0053,A0053_5,A0053_6,22497,2026-05-10 03:56:00,Transfer
T0053_06,C0053,A0053_6,A0053_7,16913,2026-05-10 04:09:00,Transfer
T0054_01,C0054,A0054_1,A0054_2,349632,2026-04-23 18:25:00,Transfer
T0054_02,C0054,A0054_2,A0054_3,232036,2026-04-23 18:36:00,Transfer
T0054_03,C0054,A0054_3,A0054_4,158560,2026-04-23 18:47:00,Transfer
T0054_04,C0054,A0054_4,A0054_5,145351,2026-04-23 19:08:00,Transfer
T0054_05,C0054,A0054_5,A0054_6,136205,2026-04-23 19:35:00,Transfer
T0055_01,C0055,A0055_1,A0055_2,85406,2026-01-22 10:50:00,Transfer
T0055_02,C0055,A0055_2,A0055_3,79467,2026-01-22 11:13:00,Transfer
T0055_03,C0055,A0055_3,A0055_4,73830,2026-01-22 11:46:00,Transfer
T0055_04,C0055,A0055_4,A0055_5,46276,2026-01-22 11:56:00,Transfer
T0055_05,C0055,A0055_5,A0055_6,28319,2026-01-22 12:16:00,Transfer
T0056_01,C0056,A0056_1,A0056_2,15390,2026-05-19 18:19:00,Transfer
T0056_02,C0056,A0056_2,A0056_3,14433,2026-05-19 18:39:00,Transfer
T0056_03,C0056,A0056_3,A0056_4,12281,2026-05-19 19:09:00,Transfer
T0056_04,C0056,A0056_4,A0056_5,7904,2026-05-19 19:26:00,Transfer
T0057_01,C0057,A0057_1,A0057_2,94405,2026-05-01 07:03:00,Transfer
T0057_02,C0057,A0057_2,A0057_3,78786,2026-05-01 07:38:00,Transfer
T0057_03,C0057,A0057_3,A0057_4,70156,2026-05-01 07:58:00,Transfer
T0057_04,C0057,A0057_4,A0057_5,40939,2026-05-01 08:10:00,Transfer
T0057_05,C0057,A0057_5,A0057_6,26983,2026-05-01 08:44:00,Transfer
T0057_06,C0057,A0057_6,A0057_7,16431,2026-05-01 09:13:00,Transfer
T0058_01,C0058,A0058_1,A0058_2,51873,2026-07-29 15:50:00,Transfer
T0058_02,C0058,A0058_2,A0058_3,47565,2026-07-29 16:22:00,Transfer
T0058_03,C0058,A0058_3,A0058_4,39404,2026-07-29 16:32:00,Transfer
T0058_04,C0058,A0058_4,A0058_5,33632,2026-07-29 17:04:00,Transfer
T0058_05,C0058,A0058_5,A0058_6,24532,2026-07-29 17:06:00,Transfer
T0058_06,C0058,A0058_6,A0058_7,22381,2026-07-29 17:09:00,Transfer
T0059_01,C0059,A0059_1,A0059_2,55937,2026-05-21 21:36:00,Transfer
T0059_02,C0059,A0059_2,A0059_3,44117,2026-05-21 21:39:00,Transfer
T0059_03,C0059,A0059_3,A0059_4,35416,2026-05-21 21:56:00,Transfer
T0060_01,C0060,A0060_1,A0060_2,200658,2026-01-01 21:28:00,Transfer
T0060_02,C0060,A0060_2,A0060_3,130720,2026-01-01 21:31:00,Transfer
T0060_03,C0060,A0060_3,A0060_4,90567,2026-01-01 21:37:00,Transfer
T0060_04,C0060,A0060_4,A0060_5,62302,2026-01-01 21:45:00,Transfer
T0060_05,C0060,A0060_5,A0060_6,53492,2026-01-01 22:08:00,Transfer
T0060_06,C0060,A0060_6,A0060_7,32275,2026-01-01 22:32:00,Transfer
T0061_01,C0061,A0061_1,A0061_2,127330,2026-02-14 23:47:00,Transfer
T0061_02,C0061,A0061_2,A0061_3,96281,2026-02-15 00:19:00,Transfer
T0061_03,C0061,A0061_3,A0061_4,62710,2026-02-15 00:33:00,Transfer
T0061_04,C0061,A0061_4,A0061_5,41667,2026-02-15 00:38:00,Transfer
T0062_01,C0062,A0062_1,A0062_2,205038,2026-07-24 13:01:00,Transfer
T0062_02,C0062,A0062_2,A0062_3,119337,2026-07-24 13:21:00,Transfer
T0062_03,C0062,A0062_3,A0062_4,80265,2026-07-24 13:50:00,Transfer
T0062_04,C0062,A0062_4,A0062_5,49496,2026-07-24 14:20:00,Transfer
T0062_05,C0062,A0062_5,A0062_6,34182,2026-07-24 14:24:00,Transfer
T0062_06,C0062,A0062_6,A0062_7,28737,2026-07-24 14:48:00,Transfer
T0063_01,C0063,A0063_1,A0063_2,111119,2026-06-13 02:15:00,Transfer
T0063_02,C0063,A0063_2,A0063_3,88010,2026-06-13 02:45:00,Transfer
T0063_03,C0063,A0063_3,A0063_4,81807,2026-06-13 03:10:00,Transfer
T0063_04,C0063,A0063_4,A0063_5,59520,2026-06-13 03:16:00,Transfer
T0063_05,C0063,A0063_5,A0063_6,46399,2026-06-13 03:51:00,Transfer
T0064_01,C0064,A0064_1,A0064_2,37468,2026-03-13 09:16:00,Transfer
T0064_02,C0064,A0064_2,A0064_3,23607,2026-03-13 09:26:00,Transfer
T0064_03,C0064,A0064_3,A0064_4,21036,2026-03-13 09:56:00,Transfer
T0064_04,C0064,A0064_4,A0064_5,13022,2026-03-13 10:26:00,Transfer
T0065_01,C0065,A0065_1,A0065_2,93802,2026-03-23 23:00:00,Transfer
T0065_02,C0065,A0065_2,A0065_3,65132,2026-03-23 23:25:00,Transfer
T0065_03,C0065,A0065_3,A0065_4,47999,2026-03-23 23:35:00,Transfer
T0065_04,C0065,A0065_4,A0065_5,38148,2026-03-23 23:42:00,Transfer
T0065_05,C0065,A0065_5,A0065_6,21984,2026-03-24 00:09:00,Transfer
T0066_01,C0066,A0066_1,A0066_2,24790,2026-07-16 14:16:00,Transfer
T0066_02,C0066,A0066_2,A0066_3,17924,2026-07-16 14:21:00,Transfer
T0066_03,C0066,A0066_3,A0066_4,15818,2026-07-16 14:56:00,Transfer
T0066_04,C0066,A0066_4,A0066_5,9668,2026-07-16 15:08:00,Transfer
T0067_01,C0067,A0067_1,A0067_2,32104,2026-02-27 12:05:00,Transfer
T0067_02,C0067,A0067_2,A0067_3,25256,2026-02-27 12:16:00,Transfer
T0067_03,C0067,A0067_3,A0067_4,15620,2026-02-27 12:39:00,Transfer
T0068_01,C0068,A0068_1,A0068_2,31052,2026-08-10 01:43:00,Transfer
T0068_02,C0068,A0068_2,A0068_3,20772,2026-08-10 01:49:00,Transfer
T0068_03,C0068,A0068_3,A0068_4,17146,2026-08-10 02:01:00,Transfer
T0068_04,C0068,A0068_4,A0068_5,12445,2026-08-10 02:33:00,Transfer
T0068_05,C0068,A0068_5,A0068_6,9156,2026-08-10 02:56:00,Transfer
T0069_01,C0069,A0069_1,A0069_2,31461,2026-07-03 11:20:00,Transfer
T0069_02,C0069,A0069_2,A0069_3,29200,2026-07-03 11:48:00,Transfer
T0069_03,C0069,A0069_3,A0069_4,18959,2026-07-03 12:00:00,Transfer
T0069_04,C0069,A0069_4,A0069_5,16596,2026-07-03 12:22:00,Transfer
T0070_01,C0070,A0070_1,A0070_2,127352,2026-05-12 16:16:00,Transfer
T0070_02,C0070,A0070_2,A0070_3,113199,2026-05-12 16:45:00,Transfer
T0070_03,C0070,A0070_3,A0070_4,68323,2026-05-12 17:03:00,Transfer
T0070_04,C0070,A0070_4,A0070_5,57459,2026-05-12 17:30:00,Transfer
T0070_05,C0070,A0070_5,A0070_6,40013,2026-05-12 17:57:00,Transfer
T0070_06,C0070,A0070_6,A0070_7,22825,2026-05-12 18:11:00,Transfer
T0071_01,C0071,A0071_1,A0071_2,94884,2026-04-09 17:48:00,Transfer
