account_id,case_id,account_type,region,account_age_days
A0011_2,C0011,Mule,Lucknow,1225
A0011_3,C0011,Mule,Jaipur,1100
A0011_4,C0011,Mule,Pune,564
A0012_1,C0012,Victim,Hyderabad,301
A0012_2,C0012,Mule,Pune,170
A0012_3,C0012,Mule,Coimbatore,786
A0012_4,C0012,Mule,Kochi,353
A0012_5,C0012,Mule,Delhi,1737
A0012_6,C0012,Mule,Ahmedabad,1470
A0013_1,C0013,Victim,Kochi,544
A0013_2,C0013,Mule,Bengaluru,219
A0013_3,C0013,Mule,Lucknow,897
A0013_4,C0013,Mule,Kochi,120
A0013_5,C0013,Mule,Bengaluru,713
A0013_6,C0013,Mule,Hyderabad,1334
A0013_7,C0013,Mule,Kochi,360
A0014_1,C0014,Victim,Mumbai,514
A0014_2,C0014,Mule,Hyderabad,1668
A0014_3,C0014,Mule,Hyderabad,874
A0014_4,C0014,Mule,Bengaluru,397
A0014_5,C0014,Mule,Bhubaneswar,710
A0015_1,C0015,Victim,Chennai,846
A0015_2,C0015,Mule,Pune,600
A0015_3,C0015,Mule,Chennai,1613
A0015_4,C0015,Mule,Kochi,749
A0015_5,C0015,Mule,Lucknow,1073
A0016_1,C0016,Victim,Coimbatore,1210
A0016_2,C0016,Mule,Coimbatore,551
A0016_3,C0016,Mule,Bengaluru,1481
A0016_4,C0016,Mule,Mumbai,33
A0016_5,C0016,Mule,Ahmedabad,1681
A0016_6,C0016,Mule,Ahmedabad,1436
A0016_7,C0016,Mule,Bhubaneswar,1549
A0017_1,C0017,Victim,Kochi,1152
A0017_2,C0017,Mule,Bengaluru,652
A0017_3,C0017,Mule,Kochi,460
A0017_4,C0017,Mule,Mumbai,1639
A0017_5,C0017,Mule,Jaipur,1272
A0017_6,C0017,Mule,Lucknow,689
A0017_7,C0017,Mule,Delhi,934
A0018_1,C0018,Victim,Delhi,1319
A0018_2,C0018,Mule,Jaipur,428
A0018_3,C0018,Mule,Bhubaneswar,1456
A0018_4,C0018,Mule,Mumbai,1042
A0018_5,C0018,Mule,Mumbai,529
A0018_6,C0018,Mule,Hyderabad,1373
A0018_7,C0018,Mule,Bhubaneswar,41
A0019_1,C0019,Victim,Delhi,1553
A0019_2,C0019,Mule,Delhi,951
A0019_3,C0019,Mule,Kochi,1569
A0019_4,C0019,Mule,Coimbatore,1750
A0019_5,C0019,Mule,Lucknow,597
A0020_1,C0020,Victim,Coimbatore,864
A0020_2,C0020,Mule,Pune,1141
A0020_3,C0020,Mule,Delhi,881
A0020_4,C0020,Mule,Bengaluru,453
A0020_5,C0020,Mule,Mumbai,827
A0020_6,C0020,Mule,Jaipur,1454
A0020_7,C0020,Mule,Bengaluru,1784
A0021_1,C0021,Victim,Chennai,1242
A0021_2,C0021,Mule,Jaipur,1387
A0021_3,C0021,Mule,Bengaluru,201
A0021_4,C0021,Mule,Lucknow,907
A0021_5,C0021,Mule,Hyderabad,975
A0021_6,C0021,Mule,Hyderabad,132
A0021_7,C0021,Mule,Kochi,806
A0022_1,C0022,Victim,Chennai,518
A0022_2,C0022,Mule,Hyderabad,999
A0022_3,C0022,Mule,Lucknow,264
A0022_4,C0022,Mule,Jaipur,476
A0022_5,C0022,Mule,Delhi,1462
A0023_1,C0023,Victim,Coimbatore,238
A0023_2,C0023,Mule,Bhubaneswar,1612
A0023_3,C0023,Mule,Kochi,1771
A0023_4,C0023,Mule,Lucknow,1259
A0023_5,C0023,Mule,Chennai,1660
A0024_1,C0024,Victim,Mumbai,1532
A0024_2,C0024,Mule,Ahmedabad,1362
A0024_3,C0024,Mule,Kochi,1291
A0024_4,C0024,Mule,Ahmedabad,1616
A0024_5,C0024,Mule,Delhi,982
A0025_1,C0025,Victim,Pune,1028
A0025_2,C0025,Mule,Coimbatore,756
A0025_3,C0025,Mule,Kochi,727
A0025_4,C0025,Mule,Kochi,1250
A0025_5,C0025,Mule,Bhubaneswar,595
A0026_1,C0026,Victim,Pune,1163
A0026_2,C0026,Mule,Ahmedabad,734
A0026_3,C0026,Mule,Mumbai,1557
A0026_4,C0026,Mule,Ahmedabad,707
A0026_5,C0026,Mule,Pune,1469
A0026_6,C0026,Mule,Delhi,584
A0026_7,C0026,Mule,Kochi,544
A0027_1,C0027,Victim,Chennai,1458
A0027_2,C0027,Mule,Hyderabad,1336
A0027_3,C0027,Mule,Delhi,240
A0027_4,C0027,Mule,Bengaluru,1205
A0027_5,C0027,Mule,Kochi,991
A0027_6,C0027,Mule,Delhi,932
A0028_1,C0028,Victim,Hyderabad,952
A0028_2,C0028,Mule,Delhi,638
A0028_3,C0028,Mule,Jaipur,908
A0028_4,C0028,Mule,Kochi,1194
A0028_5,C0028,Mule,Jaipur,153
A0028_6,C0028,Mule,Jaipur,1545
A0028_7,C0028,Mule,Chennai,1592
A0029_1,C0029,Victim,Hyderabad,265
A0029_2,C0029,Mule,Ahmedabad,490
A0029_3,C0029,Mule,Lucknow,335
A0029_4,C0029,Mule,Kochi,1722
A0029_5,C0029,Mule,Hyderabad,176
A0029_6,C0029,Mule,Bengaluru,369
A0029_7,C0029,Mule,Kochi,1248
A0030_1,C0030,Victim,Chennai,1210
A0030_2,C0030,Mule,Bengaluru,1592
A0030_3,C0030,Mule,Hyderabad,993
A0030_4,C0030,Mule,Ahmedabad,1364
A0030_5,C0030,Mule,Delhi,599
A0030_6,C0030,Mule,Hyderabad,1228
A0031_1,C0031,Victim,Pune,1612
A0031_2,C0031,Mule,Mumbai,1083
A0031_3,C0031,Mule,Bengaluru,1376
A0031_4,C0031,Mule,Ahmedabad,976
A0032_1,C0032,Victim,Hyderabad,666
A0032_2,C0032,Mule,Ahmedabad,58
A0032_3,C0032,Mule,Ahmedabad,865
A0032_4,C0032,Mule,Chennai,490
A0032_5,C0032,Mule,Chennai,975
A0033_1,C0033,Victim,Bengaluru,595
A0033_2,C0033,Mule,Mumbai,726
A0033_3,C0033,Mule,Ahmedabad,577
A0033_4,C0033,Mule,Bengaluru,609
A0034_1,C0034,Victim,Mumbai,1783
A0034_2,C0034,Mule,Mumbai,119
A0034_3,C0034,Mule,Pune,1555
A0034_4,C0034,Mule,Delhi,1474
A0034_5,C0034,Mule,Mumbai,820
A0035_1,C0035,Victim,Coimbatore,1630
A0035_2,C0035,Mule,Kochi,723
A0035_3,C0035,Mule,Jaipur,1448
A0035_4,C0035,Mule,Mumbai,1360
A0035_5,C0035,Mule,Chennai,1774
A0035_6,C0035,Mule,Pune,1775
A0035_7,C0035,Mule,Lucknow,1789
A0036_1,C0036,Victim,Pune,630
A0036_2,C0036,Mule,Pune,797
A0036_3,C0036,Mule,Mumbai,328
A0036_4,C0036,Mule,Coimbatore,1117
A0037_1,C0037,Victim,Delhi,1395
A0037_2,C0037,Mule,Bengaluru,1677
A0037_3,C0037,Mule,Delhi,619
A0037_4,C0037,Mule,Lucknow,1149
A0037_5,C0037,Mule,Hyderabad,181
A0037_6,C0037,Mule,Delhi,737
A0038_1,C0038,Victim,Kochi,1189
A0038_2,C0038,Mule,Lucknow,1623
A0038_3,C0038,Mule,Bhubaneswar,130
A0038_4,C0038,Mule,Jaipur,1556
A0039_1,C0039,Victim,Delhi,1216
A0039_2,C0039,Mule,Pune,1529
A0039_3,C0039,Mule,Hyderabad,214
A0039_4,C0039,Mule,Kochi,699
A0040_1,C0040,Victim,Delhi,318
A0040_2,C0040,Mule,Coimbatore,1791
A0040_3,C0040,Mule,Lucknow,1513
A0040_4,C0040,Mule,Lucknow,843
A0041_1,C0041,Victim,Pune,1356
A0041_2,C0041,Mule,Chennai,1331
A0041_3,C0041,Mule,Delhi,1465
A0041_4,C0041,Mule,Kochi,1359
A0041_5,C0041,Mule,Mumbai,268
A0042_1,C0042,Victim,Delhi,602
A0042_2,C0042,Mule,Bengaluru,1443
A0042_3,C0042,Mule,Pune,474
A0042_4,C0042,Mule,Delhi,940
A0042_5,C0042,Mule,Coimbatore,1781
A0042_6,C0042,Mule,Pune,233
A0042_7,C0042,Mule,Lucknow,782
A0043_1,C0043,Victim,Hyderabad,702
A0043_2,C0043,Mule,Hyderabad,1645
A0043_3,C0043,Mule,Jaipur,35
A0043_4,C0043,Mule,Kochi,1788
A0043_5,C0043,Mule,Hyderabad,296
A0044_1,C0044,Victim,Coimbatore,1005
A0044_2,C0044,Mule,Delhi,1623
A0044_3,C0044,Mule,Pune,1081
A0044_4,C0044,Mule,Jaipur,253
A0045_1,C0045,Victim,Coimbatore,1275
A0045_2,C0045,Mule,Hyderabad,164
A0045_3,C0045,Mule,Hyderabad,593
A0045_4,C0045,Mule,Jaipur,1326
A0045_5,C0045,Mule,Jaipur,1153
A0045_6,C0045,Mule,Bhubaneswar,695
A0046_1,C0046,Victim,Kochi,342
A0046_2,C0046,Mule,Lucknow,1001
A0046_3,C0046,Mule,Chennai,216
A0046_4,C0046,Mule,Chennai,220
A0046_5,C0046,Mule,Mumbai,227
A0046_6,C0046,Mule,Bhubaneswar,1543
A0047_1,C0047,Victim,Hyderabad,747
A0047_2,C0047,Mule,Ahmedabad,782
A0047_3,C0047,Mule,Chennai,1591
A0047_4,C0047,Mule,Kochi,1205
A0048_1,C0048,Victim,Bengaluru,1189
A0048_2,C0048,Mule,Lucknow,850
A0048_3,C0048,Mule,Chennai,320
A0048_4,C0048,Mule,Bhubaneswar,1326
A0048_5,C0048,Mule,Bengaluru,217
A0049_1,C0049,Victim,Delhi,1024
A0049_2,C0049,Mule,Jaipur,935
A0049_3,C0049,Mule,Mumbai,589
A0049_4,C0049,Mule,Coimbatore,1576
A0049_5,C0049,Mule,Ahmedabad,263
A0049_6,C0049,Mule,Pune,910
A0049_7,C0049,Mule,Chennai,610
A0050_1,C0050,Victim,Bengaluru,1120
A0050_2,C0050,Mule,Bhubaneswar,501
A0050_3,C0050,Mule,Ahmedabad,1174
A0050_4,C0050,Mule,Lucknow,1681
A0050_5,C0050,Mule,Pune,177
A0050_6,C0050,Mule,Mumbai,1794
A0050_7,C0050,Mule,Bhubaneswar,116
A0051_1,C0051,Victim,Mumbai,840
A0051_2,C0051,Mule,Kochi,1557
A0051_3,C0051,Mule,Pune,483
A0051_4,C0051,Mule,Pune,1625
A0052_1,C0052,Victim,Bengaluru,392
A0052_2,C0052,Mule,Lucknow,1041
A0052_3,C0052,Mule,Delhi,1575
A0052_4,C0052,Mule,Jaipur,1586
A0053_1,C0053,Victim,Delhi,107
A0053_2,C0053,Mule,Bengaluru,785
A0053_3,C0053,Mule,Kochi,187
A0053_4,C0053,Mule,Lucknow,1799
A0053_5,C0053,Mule,Chennai,1289
A0053_6,C0053,Mule,Jaipur,1068
A0053_7,C0053,Mule,Mumbai,977
A0054_1,C0054,Victim,Bengaluru,793
A0054_2,C0054,Mule,Kochi,823
A0054_3,C0054,Mule,Mumbai,1616
A0054_4,C0054,Mule,Pune,1420
A0054_5,C0054,Mule,Jaipur,137
A0054_6,C0054,Mule,Lucknow,1355
A0055_1,C0055,Victim,Mumbai,1695
A0055_2,C0055,Mule,Hyderabad,1402
A0055_3,C0055,Mule,Bhubaneswar,1727
A0055_4,C0055,Mule,Bhubaneswar,1433
A0055_5,C0055,Mule,Ahmedabad,221
A0055_6,C0055,Mule,Lucknow,1403
A0056_1,C0056,Victim,Pune,1253
A0056_2,C0056,Mule,Mumbai,345
A0056_3,C0056,Mule,Hyderabad,400
A0056_4,C0056,Mule,Bhubaneswar,1609
A0056_5,C0056,Mule,Jaipur,1686
A0057_1,C0057,Victim,Delhi,1605
A0057_2,C0057,Mule,Kochi,1623
A0057_3,C0057,Mule,Mumbai,1059
A0057_4,C0057,Mule,Ahmedabad,887
A0057_5,C0057,Mule,Hyderabad,1702
A0057_6,C0057,Mule,Coimbatore,1670
A0057_7,C0057,Mule,Jaipur,313
A0058_1,C0058,Victim,Chennai,139
A0058_2,C0058,Mule,Mumbai,1058
A0058_3,C0058,Mule,Pune,512
A0058_4,C0058,Mule,Mumbai,197
A0058_5,C0058,Mule,Pune,489
A0058_6,C0058,Mule,Bengaluru,682
A0058_7,C0058,Mule,Chennai,1748
A0059_1,C0059,Victim,Mumbai,1619
A0059_2,C0059,Mule,Kochi,516
A0059_3,C0059,Mule,Kochi,279
A0059_4,C0059,Mule,Bengaluru,518
A0060_1,C0060,Victim,Hyderabad,413
A0060_2,C0060,Mule,Lucknow,1398
A0060_3,C0060,Mule,Chennai,1102
A0060_4,C0060,Mule,Pune,168
A0060_5,C0060,Mule,Ahmedabad,1144
A0060_6,C0060,Mule,Ahmedabad,1640
A0060_7,C0060,Mule,Ahmedabad,1164
A0061_1,C0061,Victim,Delhi,1691
A0061_2,C0061,Mule,Hyderabad,159
A0061_3,C0061,Mule,Bhubaneswar,1619
A0061_4,C0061,Mule,Delhi,105
A0061_5,C0061,Mule,Kochi,442
A0062_1,C0062,Victim,Mumbai,821
A0062_2,C0062,Mule,Pune,412
A0062_3,C0062,Mule,Delhi,1447
A0062_4,C0062,Mule,Delhi,782
A0062_5,C0062,Mule,Ahmedabad,576
A0062_6,C0062,Mule,Chennai,1519
A0062_7,C0062,Mule,Mumbai,191
A0063_1,C0063,Victim,Mumbai,1080
A0063_2,C0063,Mule,Bhubaneswar,1421
A0063_3,C0063,Mule,Hyderabad,93
A0063_4,C0063,Mule,Hyderabad,1768
A0063_5,C0063,Mule,Jaipur,1418
A0063_6,C0063,Mule,Delhi,101
A0064_1,C0064,Victim,Chennai,1052
A0064_2,C0064,Mule,Ahmedabad,822
A0064_3,C0064,Mule,Ahmedabad,271
A0064_4,C0064,Mule,Kochi,1617
A0064_5,C0064,Mule,Kochi,1471
A0065_1,C0065,Victim,Coimbatore,644
A0065_2,C0065,Mule,Hyderabad,1487
A0065_3,C0065,Mule,Bhubaneswar,1464
A0065_4,C0065,Mule,Lucknow,386
A0065_5,C0065,Mule,Pune,1071
A0065_6,C0065,Mule,Coimbatore,278
A0066_1,C0066,Victim,Coimbatore,679
A0066_2,C0066,Mule,Lucknow,181
A0066_3,C0066,Mule,Delhi,984
A0066_4,C0066,Mule,Lucknow,1089
A0066_5,C0066,Mule,Pune,292
A0067_1,C0067,Victim,Kochi,543
A0067_2,C0067,Mule,Coimbatore,1330
A0067_3,C0067,Mule,Ahmedabad,592
A0067_4,C0067,Mule,Hyderabad,1310
A0068_1,C0068,Victim,Chennai,1363
A0068_2,C0068,Mule,Coimbatore,1600
A0068_3,C0068,Mule,Jaipur,883
A0068_4,C0068,Mule,Jaipur,1338
A0068_5,C0068,Mule,Bengaluru,1049
A0068_6,C0068,Mule,Lucknow,1147
A0069_1,C0069,Victim,Mumbai,1587
A0069_2,C0069,Mule,Pune,1084
A0069_3,C0069,Mule,Ahmedabad,247
A0069_4,C0069,Mule,Pune,525
A0069_5,C0069,Mule,Delhi,280
A0070_1,C0070,Victim,Kochi,77
A0070_2,C0070,Mule,Chennai,835
A0070_3,C0070,Mule,Ahmedabad,966
A0070_4,C0070,Mule,Coimbatore,470
A0070_5,C0070,Mule,Jaipur,752
A0070_6,C0070,Mule,Bengaluru,133
A0070_7,C0070,Mule,Kochi,1043
A0071_1,C0071,Victim,Kochi,293
A0071_2,C0071,Mule,Chennai,836
A0071_3,C0071,Mule,Pune,1657
A0071_4,C0071,Mule,Pune,1172
A0072_1,C0072,Victim,Pune,362
A0072_2,C0072,Mule,Mumbai,1292
A0072_3,C0072,Mule,Bhubaneswar,1755
A0072_4,C0072,Mule,Kochi,1245
A0072_5,C0072,Mule,Pune,1068
A0072_6,C0072,Mule,Ahmedabad,1120
A0073_1,C0073,Victim,Delhi,1103
A0073_2,C0073,Mule,Lucknow,1506
A0073_3,C0073,Mule,Jaipur,1616
A0073_4,C0073,Mule,Mumbai,332
A0073_5,C0073,Mule,Lucknow,526
A0074_1,C0074,Victim,Pune,1106
A0074_2,C0074,Mule,Mumbai,672
A0074_3,C0074,Mule,Hyderabad,971
A0074_4,C0074,Mule,Ahmedabad,731
A0074_5,C0074,Mule,Ahmedabad,755
A0074_6,C0074,Mule,Lucknow,1611
A0074_7,C0074,Mule,Bhubaneswar,1424
A0075_1,C0075,Victim,Coimbatore,838
A0075_2,C0075,Mule,Pune,1613
A0075_3,C0075,Mule,Hyderabad,624
A0075_4,C0075,Mule,Bengaluru,619
A0075_5,C0075,Mule,Bhubaneswar,191
A0075_6,C0075,Mule,Pune,935
A0075_7,C0075,Mule,Lucknow,555
A0076_1,C0076,Victim,Bengaluru,1367
A0076_2,C0076,Mule,Delhi,1007
A0076_3,C0076,Mule,Lucknow,438
A0076_4,C0076,Mule,Kochi,687
A0076_5,C0076,Mule,Kochi,1352
A0076_6,C0076,Mule,Bengaluru,1604
A0076_7,C0076,Mule,Chennai,1365
A0077_1,C0077,Victim,Kochi,1343
A0077_2,C0077,Mule,Ahmedabad,1103
A0077_3,C0077,Mule,Delhi,304
A0077_4,C0077,Mule,Ahmedabad,988
A0077_5,C0077,Mule,Kochi,424
A0077_6,C0077,Mule,Chennai,707
A0077_7,C0077,Mule,Hyderabad,1527
A0078_1,C0078,Victim,Mumbai,944
A0078_2,C0078,Mule,Kochi,705
A0078_3,C0078,Mule,Kochi,1222
A0078_4,C0078,Mule,Bhubaneswar,1203
A0078_5,C0078,Mule,Bengaluru,565
A0079_1,C0079,Victim,Hyderabad,303
A0079_2,C0079,Mule,Delhi,343
A0079_3,C0079,Mule,Delhi,1561
A0079_4,C0079,Mule,Jaipur,795
A0079_5,C0079,Mule,Mumbai,1467
A0080_1,C0080,Victim,Bengaluru,701
A0080_2,C0080,Mule,Ahmedabad,934
A0080_3,C0080,Mule,Chennai,1423
A0080_4,C0080,Mule,Coimbatore,1498
A0080_5,C0080,Mule,Jaipur,1031
A0081_1,C0081,Victim,Chennai,735
A0081_2,C0081,Mule,Bhubaneswar,160
A0081_3,C0081,Mule,Ahmedabad,153
A0081_4,C0081,Mule,Chennai,996
A0081_5,C0081,Mule,Bengaluru,617
A0081_6,C0081,Mule,Mumbai,398
A0081_7,C0081,Mule,Hyderabad,1598
A0082_1,C0082,Victim,Mumbai,1716
A0082_2,C0082,Mule,Coimbatore,536
A0082_3,C0082,Mule,Delhi,738
A0082_4,C0082,Mule,Hyderabad,594
A0082_5,C0082,Mule,Coimbatore,1514
A0082_6,C0082,Mule,Chennai,95
A0082_7,C0082,Mule,Lucknow,888
A0083_1,C0083,Victim,Pune,648
A0083_2,C0083,Mule,Hyderabad,1382
A0083_3,C0083,Mule,Ahmedabad,482
A0083_4,C0083,Mule,Mumbai,645
A0083_5,C0083,Mule,Kochi,154
A0084_1,C0084,Victim,Delhi,1769
A0084_2,C0084,Mule,Coimbatore,645
A0084_3,C0084,Mule,Bhubaneswar,325
A0084_4,C0084,Mule,Delhi,148
A0084_5,C0084,Mule,Ahmedabad,875
A0085_1,C0085,Victim,Coimbatore,1677
A0085_2,C0085,Mule,Jaipur,1513
A0085_3,C0085,Mule,Lucknow,1174
A0085_4,C0085,Mule,Coimbatore,1011
A0085_5,C0085,Mule,Coimbatore,711
A0086_1,C0086,Victim,Pune,565
A0086_2,C0086,Mule,Pune,1080
A0086_3,C0086,Mule,Delhi,984
A0086_4,C0086,Mule,Chennai,1674
A0086_5,C0086,Mule,Bhubaneswar,991
A0086_6,C0086,Mule,Pune,446
A0087_1,C0087,Victim,Kochi,1511
A0087_2,C0087,Mule,Lucknow,1544
A0087_3,C0087,Mule,Delhi,973
A0087_4,C0087,Mule,Hyderabad,1530
A0087_5,C0087,Mule,Pune,376
A0087_6,C0087,Mule,Hyderabad,1505
A0087_7,C0087,Mule,Ahmedabad,1030
A0088_1,C0088,Victim,Delhi,62
A0088_2,C0088,Mule,Bengaluru,1119
A0088_3,C0088,Mule,Ahmedabad,872
A0088_4,C0088,Mule,Bengaluru,64
A0088_5,C0088,Mule,Ahmedabad,1509
A0088_6,C0088,Mule,Kochi,1127
A0088_7,C0088,Mule,Kochi,65
A0089_1,C0089,Victim,Hyderabad,1430
A0089_2,C0089,Mule,Chennai,1368
A0089_3,C0089,Mule,Lucknow,1585
A0089_4,C0089,Mule,Bengaluru,221
A0089_5,C0089,Mule,Mumbai,806
A0089_6,C0089,Mule,Mumbai,1161
A0090_1,C0090,Victim,Kochi,182
A0090_2,C0090,Mule,Lucknow,604
A0090_3,C0090,Mule,Ahmedabad,1184
A0090_4,C0090,Mule,Lucknow,97
A0091_1,C0091,Victim,Pune,1577
A0091_2,C0091,Mule,Bhubaneswar,316
A0091_3,C0091,Mule,Bhubaneswar,1513
A0091_4,C0091,Mule,Chennai,1055
A0091_5,C0091,Mule,Bhubaneswar,738
A0091_6,C0091,Mule,Bengaluru,230
A0091_7,C0091,Mule,Mumbai,505
A0092_1,C0092,Victim,Coimbatore,345
A0092_2,C0092,Mule,Mumbai,1487
A0092_3,C0092,Mule,Lucknow,345
A0092_4,C0092,Mule,Bhubaneswar,827
A0092_5,C0092,Mule,Pune,768
A0092_6,C0092,Mule,Chennai,217
A0093_1,C0093,Victim,Kochi,824
A0093_2,C0093,Mule,Chennai,1514
A0093_3,C0093,Mule,Ahmedabad,527
A0093_4,C0093,Mule,Jaipur,1097
A0093_5,C0093,Mule,Hyderabad,1433
A0093_6,C0093,Mule,Mumbai,377
A0093_7,C0093,Mule,Hyderabad,580
A0094_1,C0094,Victim,Mumbai,931
A0094_2,C0094,Mule,Pune,911
A0094_3,C0094,Mule,Lucknow,1247
A0094_4,C0094,Mule,Hyderabad,645
A0094_5,C0094,Mule,Pune,1265
A0094_6,C0094,Mule,Bhubaneswar,441
A0095_1,C0095,Victim,Bengaluru,1519
A0095_2,C0095,Mule,Delhi,1480
A0095_3,C0095,Mule,Coimbatore,927
A0095_4,C0095,Mule,Kochi,1732
A0096_1,C0096,Victim,Mumbai,1649
A0096_2,C0096,Mule,Pune,1466
A0096_3,C0096,Mule,Ahmedabad,1246
A0096_4,C0096,Mule,Lucknow,204
A0097_1,C0097,Victim,Hyderabad,796
A0097_2,C0097,Mule,Mumbai,978
A0097_3,C0097,Mule,Lucknow,1235
A0097_4,C0097,Mule,Bhubaneswar,1054
A0097_5,C0097,Mule,Hyderabad,736
A0097_6,C0097,Mule,Bengaluru,1018
A0097_7,C0097,Mule,Chennai,635
A0098_1,C0098,Victim,Bengaluru,1086
A0098_2,C0098,Mule,Hyderabad,1160
A0098_3,C0098,Mule,Hyderabad,707
A0098_4,C0098,Mule,Ahmedabad,903
A0098_5,C0098,Mule,Delhi,504
A0099_1,C0099,Victim,Coimbatore,779
A0099_2,C0099,Mule,Pune,433
A0099_3,C0099,Mule,Delhi,263
A0099_4,C0099,Mule,Kochi,1403
A0099_5,C0099,Mule,Delhi,1110
A0100_1,C0100,Victim,Bengaluru,1450
A0100_2,C0100,Mule,Hyderabad,1076
A0100_3,C0100,Mule,Mumbai,886
A0100_4,C0100,Mule,Jaipur,312
A0100_5,C0100,Mule,Jaipur,815
A0100_6,C0100,Mule,Mumbai,410
A0101_1,C0101,Victim,Mumbai,881
A0101_2,C0101,Mule,Bhubaneswar,1750
A0101_3,C0101,Mule,Delhi,1030
A0101_4,C0101,Mule,Hyderabad,199
A0101_5,C0101,Mule,Jaipur,93
A0101_6,C0101,Mule,Coimbatore,628
A0101_7,C0101,Mule,Bengaluru,592
A0102_1,C0102,Victim,Kochi,951
A0102_2,C0102,Mule,Kochi,743
A0102_3,C0102,Mule,Chennai,929
A0102_4,C0102,Mule,Chennai,1618
A0103_1,C0103,Victim,Bengaluru,1471
A0103_2,C0103,Mule,Kochi,622
A0103_3,C0103,Mule,Jaipur,577
A0103_4,C0103,Mule,Ahmedabad,1421
A0103_5,C0103,Mule,Chennai,307
A0103_6,C0103,Mule,Mumbai,151
A0104_1,C0104,Victim,Kochi,961
A0104_2,C0104,Mule,Delhi,700
A0104_3,C0104,Mule,Jaipur,35
A0104_4,C0104,Mule,Bhubaneswar,220
A0104_5,C0104,Mule,Bhubaneswar,968
A0104_6,C0104,Mule,Lucknow,1390
A0105_1,C0105,Victim,Chennai,1786
A0105_2,C0105,Mule,Hyderabad,933
A0105_3,C0105,Mule,Delhi,31
A0105_4,C0105,Mule,Mumbai,444
A0106_1,C0106,Victim,Hyderabad,1372
A0106_2,C0106,Mule,Chennai,1471
A0106_3,C0106,Mule,Chennai,32
A0106_4,C0106,Mule,Coimbatore,1006
A0106_5,C0106,Mule,Chennai,301
A0106_6,C0106,Mule,Jaipur,493
A0106_7,C0106,Mule,Ahmedabad,1422
A0107_1,C0107,Victim,Coimbatore,1279
A0107_2,C0107,Mule,Lucknow,366
A0107_3,C0107,Mule,Delhi,749
A0107_4,C0107,Mule,Bhubaneswar,466
A0108_1,C0108,Victim,Pune,537
A0108_2,C0108,Mule,Kochi,1350
A0108_3,C0108,Mule,Chennai,538
A0108_4,C0108,Mule,Ahmedabad,1260
A0108_5,C0108,Mule,Jaipur,1506
A0109_1,C0109,Victim,Coimbatore,769
A0109_2,C0109,Mule,Pune,300
A0109_3,C0109,Mule,Mumbai,1792
A0109_4,C0109,Mule,Jaipur,891
A0110_1,C0110,Victim,Kochi,897
A0110_2,C0110,Mule,Bhubaneswar,853
A0110_3,C0110,Mule,Chennai,1341
A0110_4,C0110,Mule,Ahmedabad,1131
A0110_5,C0110,Mule,Jaipur,342
