case_id,fraud_type,complaint_time,amount,victim_region,status
C0091,Online Shopping Fraud,2026-08-02 13:16:00,164960,Pune,Closed
C0092,Investment Fraud,2026-07-24 08:24:00,42455,Coimbatore,Closed
C0093,Investment Fraud,2026-08-10 13:08:00,83629,Kochi,Closed
C0094,UPI Fraud,2026-01-02 13:30:00,146022,Mumbai,Closed
C0095,Online Shopping Fraud,2026-02-21 20:12:00,50791,Bengaluru,Closed
C0096,Job Scam,2026-05-03 19:52:00,69962,Mumbai,Closed
C0097,Phishing,2026-01-26 08:49:00,118681,Hyderabad,Closed
C0098,Investment Fraud,2026-01-06 11:42:00,114860,Bengaluru,Closed
C0099,Online Shopping Fraud,2026-07-27 02:08:00,49307,Coimbatore,Closed
C0100,Investment Fraud,2026-03-03 10:25:00,104766,Bengaluru,Closed
C0101,Job Scam,2026-05-24 17:15:00,133139,Mumbai,Closed
C0102,Phishing,2026-01-27 22:18:00,237843,Kochi,Closed
C0103,Online Shopping Fraud,2026-03-13 20:22:00,33216,Bengaluru,Closed
C0104,Job Scam,2026-08-14 03:10:00,150987,Kochi,Closed
C0105,Job Scam,2026-01-12 03:23:00,150989,Chennai,Closed
C0106,UPI Fraud,2026-01-14 13:31:00,157887,Hyderabad,Closed
C0107,Phishing,2026-08-12 04:32:00,214513,Coimbatore,Closed
C0108,Job Scam,2026-04-09 11:59:00,77707,Pune,Closed
C0109,Job Scam,2026-01-29 08:13:00,53888,Coimbatore,Closed
C0110,Online Shopping Fraud,2026-07-22 13:35:00,67821,Kochi,Closed
C0111,Investment Fraud,2026-07-09 05:59:00,637081,Chennai,Closed
C0112,Job Scam,2026-06-10 02:37:00,173153,Delhi,Closed
C0113,Job Scam,2026-07-09 22:22:00,68554,Hyderabad,Closed
C0114,Phishing,2026-07-09 21:15:00,105276,Delhi,Closed
C0115,UPI Fraud,2026-01-16 04:51:00,56425,Coimbatore,Closed
C0116,UPI Fraud,2026-03-22 13:24:00,55749,Pune,Closed
C0117,Online Shopping Fraud,2026-04-02 13:31:00,103713,Chennai,Closed
C0118,Job Scam,2026-08-20 22:02:00,555753,Bengaluru,Closed
C0119,Online Shopping Fraud,2026-02-08 01:10:00,19787,Hyderabad,Closed
C0120,UPI Fraud,2026-02-26 01:00:00,58894,Chennai,Closed
C0121,Online Shopping Fraud,2026-07-27 16:48:00,53045,Kochi,Closed
C0122,Investment Fraud,2026-08-09 12:27:00,149778,Pune,Closed
C0123,Job Scam,2026-05-25 03:33:00,38280,Bengaluru,Closed
C0124,Online Shopping Fraud,2026-04-07 11:59:00,68389,Mumbai,Closed
C0125,UPI Fraud,2026-05-21 03:10:00,410564,Delhi,Closed
C0126,Investment Fraud,2026-05-06 05:14:00,36469,Pune,Closed
C0127,Investment Fraud,2026-06-19 09:02:00,546150,Mumbai,Closed
C0128,Job Scam,2026-07-29 17:50:00,29656,Delhi,Closed
C0129,Phishing,2026-02-21 21:24:00,275530,Kochi,Closed
C0130,Online Shopping Fraud,2026-05-05 19:31:00,142625,Delhi,Closed
C0131,UPI Fraud,2026-07-23 10:20:00,47637,Kochi,Closed
C0132,Investment Fraud,2026-08-13 06:51:00,7479,Hyderabad,Closed
C0133,Investment Fraud,2026-02-11 08:49:00,81705,Kochi,Closed
C0134,UPI Fraud,2026-01-03 07:38:00,369111,Kochi,Closed
C0135,UPI Fraud,2026-08-17 22:14:00,70325,Hyderabad,Closed
C0136,Job Scam,2026-06-25 18:14:00,316774,Pune,Closed
C0137,Online Shopping Fraud,2026-01-14 21:39:00,253585,Coimbatore,Closed
C0138,Phishing,2026-07-21 03:00:00,45602,Mumbai,Closed
C0139,Job Scam,2026-05-15 11:31:00,117262,Bengaluru,Closed
C0140,Investment Fraud,2026-01-06 01:38:00,105743,Mumbai,Closed
C0141,Investment Fraud,2026-03-17 05:28:00,109506,Delhi,Closed
C0142,Investment Fraud,2026-07-28 05:57:00,355662,Kochi,Closed
C0143,Job Scam,2026-08-06 16:19:00,550924,Bengaluru,Closed
C0144,Job Scam,2026-08-16 14:02:00,88565,Chennai,Closed
C0145,Phishing,2026-06-14 13:08:00,125206,Chennai,Closed
C0146,Online Shopping Fraud,2026-04-28 15:09:00,84662,Delhi,Closed
C0147,Investment Fraud,2026-03-29 12:24:00,62407,Hyderabad,Closed
C0148,Job Scam,2026-04-11 07:21:00,133057,Hyderabad,Closed
C0149,Investment Fraud,2026-07-28 04:22:00,205377,Mumbai,Closed
C0150,UPI Fraud,2026-03-24 03:56:00,191609,Delhi,Closed
C0151,Phishing,2026-07-09 19:10:00,51520,Mumbai,Closed
C0152,Phishing,2026-03-17 15:19:00,181817,Coimbatore,Closed
C0153,UPI Fraud,2026-04-02 02:29:00,98341,Hyderabad,Closed
C0154,Online Shopping Fraud,2026-03-03 21:55:00,277911,Hyderabad,Closed
C0155,Investment Fraud,2026-03-24 17:32:00,154910,Coimbatore,Closed
C0156,Investment Fraud,2026-01-10 02:59:00,84017,Chennai,Closed
C0157,Investment Fraud,2026-08-26 17:09:00,193543,Kochi,Closed
C0158,Online Shopping Fraud,2026-06-02 13:27:00,284164,Coimbatore,Closed
C0159,UPI Fraud,2026-05-29 16:37:00,172557,Pune,Closed
C0160,Job Scam,2026-07-09 21:52:00,129606,Kochi,Closed
C0161,Investment Fraud,2026-06-01 07:15:00,108068,Kochi,Closed
C0162,UPI Fraud,2026-01-17 09:01:00,51966,Hyderabad,Closed
C0163,Job Scam,2026-04-07 22:18:00,44717,Pune,Closed
C0164,Investment Fraud,2026-04-03 20:32:00,252562,Hyderabad,Closed
C0165,Job Scam,2026-01-22 07:23:00,164756,Delhi,Closed
C0166,Online Shopping Fraud,2026-01-10 18:08:00,99025,Coimbatore,Closed
C0167,Online Shopping Fraud,2026-07-25 23:46:00,106252,Coimbatore,Closed
C0168,Phishing,2026-06-24 13:33:00,218168,Mumbai,Closed
C0169,UPI Fraud,2026-01-23 02:11:00,51664,Hyderabad,Closed
C0170,Investment Fraud,2026-04-03 08:09:00,139144,Bengaluru,Closed
C0171,Online Shopping Fraud,2026-04-27 13:47:00,51800,Chennai,Closed
C0172,Phishing,2026-02-26 23:06:00,121649,Pune,Closed
C0173,UPI Fraud,2026-08-03 21:06:00,68603,Bengaluru,Closed
C0174,Investment Fraud,2026-05-28 04:22:00,31396,Mumbai,Closed
C0175,UPI Fraud,2026-02-23 14:18:00,56284,Pune,Closed
C0176,Investment Fraud,2026-01-13 13:35:00,128239,Bengaluru,Closed
C0177,UPI Fraud,2026-05-18 05:57:00,198601,Pune,Closed
C0178,UPI Fraud,2026-08-16 15:11:00,98490,Delhi,Closed
C0179,Phishing,2026-03-14 15:07:00,98529,Bengaluru,Closed
C0180,Job Scam,2026-07-26 03:03:00,129456,Kochi,Closed
C0181,Job Scam,2026-07-08 22:02:00,151509,Mumbai,Closed
C0182,Phishing,2026-06-09 16:47:00,91666,Pune,Closed
C0183,Job Scam,2026-05-08 12:40:00,173692,Chennai,Closed
C0184,Phishing,2026-03-21 11:01:00,119634,Chennai,Closed
C0185,Job Scam,2026-05-29 23:34:00,108127,Bengaluru,Closed
C0186,Investment Fraud,2026-02-04 08:33:00,101980,Delhi,Closed
C0187,Online Shopping Fraud,2026-07-04 02:09:00,319285,Mumbai,Closed
C0188,Job Scam,2026-06-14 13:15:00,559876,Kochi,Closed
C0189,UPI Fraud,2026-07-07 02:24:00,200944,Coimbatore,Closed
C0190,Phishing,2026-03-28 22:26:00,576521,Delhi,Closed
C0191,UPI Fraud,2026-03-19 00:13:00,51079,Hyderabad,Closed
C0192,Investment Fraud,2026-08-23 07:25:00,18284,Pune,Closed
C0193,Online Shopping Fraud,2026-03-23 18:25:00,54481,Bengaluru,Closed
C0194,Job Scam,2026-07-15 04:36:00,131443,Hyderabad,Closed
C0195,Phishing,2026-08-25 07:58:00,213900,Pune,Closed
C0196,Job Scam,2026-03-08 18:43:00,48736,Bengaluru,Closed
C0197,Job Scam,2026-08-15 22:09:00,34777,Hyderabad,Closed
C0198,Investment Fraud,2026-03-07 13:12:00,256909,Kochi,Closed
C0199,Phishing,2026-05-19 23:20:00,25397,Bengaluru,Closed
C0200,Investment Fraud,2026-02-03 06:18:00,91244,Kochi,Closed
C0201,Job Scam,2026-01-04 09:12:00,27927,Hyderabad,Closed
C0202,Phishing,2026-07-31 01:26:00,100420,Mumbai,Closed
C0203,Investment Fraud,2026-01-24 17:05:00,69763,Bengaluru,Closed
C0204,Online Shopping Fraud,2026-07-22 17:27:00,42566,Bengaluru,Closed
C0205,Job Scam,2026-02-25 20:05:00,110101,Delhi,Closed
C0206,UPI Fraud,2026-01-10 03:10:00,176701,Pune,Closed
C0207,Job Scam,2026-07-21 09:48:00,29308,Pune,Closed
C0208,Phishing,2026-05-24 21:45:00,130454,Chennai,Closed
C0209,Job Scam,2026-05-04 05:18:00,345879,Pune,Closed
C0210,UPI Fraud,2026-07-20 10:31:00,256879,Chennai,Closed
C0211,Online Shopping Fraud,2026-07-16 03:21:00,519968,Bengaluru,Closed
C0212,UPI Fraud,2026-03-12 18:10:00,81940,Delhi,Closed
C0213,Job Scam,2026-03-28 18:27:00,167581,Chennai,Closed
C0214,Job Scam,2026-07-25 23:50:00,46211,Coimbatore,Closed
C0215,UPI Fraud,2026-07-02 03:39:00,233203,Coimbatore,Closed
C0216,Investment Fraud,2026-08-03 16:36:00,38805,Delhi,Closed
C0217,UPI Fraud,2026-02-20 07:01:00,80611,Kochi,Closed
C0218,Job Scam,2026-04-14 13:01:00,332638,Hyderabad,Closed
C0219,Online Shopping Fraud,2026-04-17 15:33:00,367992,Mumbai,Closed
C0220,Job Scam,2026-01-29 19:48:00,25596,Coimbatore,Closed
C0221,UPI Fraud,2026-04-18 12:02:00,135968,Kochi,Closed
C0222,UPI Fraud,2026-06-07 09:35:00,19129,Kochi,Closed
C0223,Job Scam,2026-07-30 05:15:00,35219,Mumbai,Closed
C0224,Investment Fraud,2026-05-16 23:18:00,134081,Coimbatore,Closed
C0225,Job Scam,2026-01-27 23:23:00,66292,Pune,Closed
C0226,Job Scam,2026-08-28 02:35:00,95109,Kochi,Closed
C0227,Online Shopping Fraud,2026-01-19 02:24:00,45448,Kochi,Closed
C0228,Investment Fraud,2026-01-15 21:34:00,65428,Pune,Closed
C0229,UPI Fraud,2026-05-19 21:57:00,91793,Delhi,Closed
C0230,Investment Fraud,2026-08-20 10:29:00,64215,Delhi,Closed
C0231,Phishing,2026-02-06 14:10:00,481521,Pune,Closed
C0232,Online Shopping Fraud,2026-06-13 09:14:00,57133,Delhi,Closed
C0233,Job Scam,2026-08-05 16:11:00,91405,Bengaluru,Closed
C0234,Online Shopping Fraud,2026-04-24 20:13:00,163449,Pune,Closed
C0235,Investment Fraud,2026-06-27 19:24:00,65416,Kochi,Closed
C0236,Phishing,2026-07-08 08:25:00,80248,Pune,Closed
C0237,UPI Fraud,2026-05-03 22:50:00,29755,Bengaluru,Closed
C0238,Online Shopping Fraud,2026-08-27 01:52:00,372838,Pune,Closed
C0239,Phishing,2026-07-12 19:48:00,158604,Hyderabad,Closed
C0240,Phishing,2026-01-20 03:43:00,1000000,Kochi,Closed
C0241,Online Shopping Fraud,2026-08-12 07:55:00,90272,Pune,Closed
C0242,Phishing,2026-05-18 09:44:00,27660,Bengaluru,Closed
C0243,Job Scam,2026-07-16 04:57:00,54603,Pune,Closed
C0244,Job Scam,2026-08-04 07:31:00,59615,Pune,Closed
C0245,Investment Fraud,2026-06-04 17:27:00,385631,Pune,Closed
C0246,Online Shopping Fraud,2026-03-27 02:15:00,99364,Mumbai,Closed
C0247,Phishing,2026-07-09 15:49:00,106385,Chennai,Closed
C0248,Online Shopping Fraud,2026-06-03 12:20:00,338210,Delhi,Closed
C0249,Online Shopping Fraud,2026-02-16 03:13:00,43613,Bengaluru,Closed
C0250,Online Shopping Fraud,2026-08-01 17:56:00,49633,Coimbatore,Closed
C0251,Job Scam,2026-01-20 00:38:00,209791,Mumbai,Closed
C0252,Investment Fraud,2026-06-21 11:59:00,32665,Coimbatore,Closed
C0253,Phishing,2026-07-05 03:22:00,59421,Delhi,Closed
C0254,Job Scam,2026-04-09 09:40:00,62256,Kochi,Closed
C0255,Phishing,2026-04-14 04:11:00,103958,Mumbai,Closed
C0256,UPI Fraud,2026-04-08 20:38:00,124155,Bengaluru,Closed
C0257,Online Shopping Fraud,2026-01-09 06:02:00,82600,Kochi,Closed
C0258,Investment Fraud,2026-03-14 10:56:00,63038,Chennai,Closed
C0259,Investment Fraud,2026-01-22 23:29:00,149291,Kochi,Closed
C0260,Job Scam,2026-05-27 03:20:00,108270,Coimbatore,Closed
C0261,UPI Fraud,2026-06-01 11:29:00,26302,Coimbatore,Closed
C0262,Phishing,2026-02-07 08:12:00,58854,Kochi,Closed
C0263,Online Shopping Fraud,2026-07-25 09:28:00,54302,Bengaluru,Closed
C0264,UPI Fraud,2026-05-29 17:55:00,27197,Delhi,Closed
C0265,Job Scam,2026-05-31 01:54:00,123093,Pune,Closed
C0266,Online Shopping Fraud,2026-03-03 08:38:00,166674,Mumbai,Closed
C0267,Job Scam,2026-08-04 11:21:00,94850,Coimbatore,Closed
C0268,Phishing,2026-01-22 03:46:00,59364,Hyderabad,Closed
C0269,Online Shopping Fraud,2026-05-23 22:05:00,50241,Hyderabad,Closed
C0270,Job Scam,2026-04-27 22:59:00,223677,Coimbatore,Closed
C0271,Phishing,2026-06-08 15:23:00,195141,Pune,Closed
C0272,Investment Fraud,2026-08-17 19:05:00,152782,Bengaluru,Closed
C0273,Job Scam,2026-02-12 10:46:00,13844,Bengaluru,Closed
C0274,Online Shopping Fraud,2026-05-25 22:38:00,158670,Hyderabad,Closed
C0275,Job Scam,2026-07-01 22:30:00,134570,Delhi,Closed
C0276,Job Scam,2026-02-11 13:15:00,107172,Kochi,Closed
C0277,Investment Fraud,2026-06-11 14:32:00,254524,Chennai,Closed
C0278,Online Shopping Fraud,2026-05-12 03:40:00,131007,Mumbai,Closed
C0279,Phishing,2026-07-27 06:23:00,67699,Bengaluru,Closed
C0280,Job Scam,2026-06-07 12:18:00,137102,Kochi,Closed
C0281,Job Scam,2026-02-07 16:10:00,126089,Chennai,Closed
C0282,UPI Fraud,2026-06-02 18:55:00,200751,Chennai,Closed
C0283,UPI Fraud,2026-02-26 20:03:00,261423,Delhi,Closed
C0284,Investment Fraud,2026-02-23 19:00:00,19583,Chennai,Closed
C0285,Investment Fraud,2026-04-23 15:36:00,22388,Coimbatore,Closed
C0286,Investment Fraud,2026-07-29 04:42:00,101484,Hyderabad,Closed
C0287,Investment Fraud,2026-01-03 17:39:00,129893,Coimbatore,Closed
C0288,Phishing,2026-04-14 15:13:00,194162,Delhi,Closed
C0289,Online Shopping Fraud,2026-07-05 14:25:00,120742,Coimbatore,Closed
C0290,Phishing,2026-07-20 19:33:00,30639,Mumbai,Closed
C0291,UPI Fraud,2026-07-19 13:28:00,131100,Delhi,Closed
C0292,UPI Fraud,2026-02-09 04:01:00,165901,Kochi,Closed
C0293,Job Scam,2026-02-05 17:13:00,115660,Delhi,Closed
C0294,Investment Fraud,2026-05-02 17:09:00,69247,Coimbatore,Closed
C0295,Online Shopping Fraud,2026-01-30 03:23:00,194306,Bengaluru,Closed
C0296,Online Shopping Fraud,2026-05-07 17:21:00,105892,Mumbai,Closed
C0297,Online Shopping Fraud,2026-01-22 21:42:00,146694,Hyderabad,Closed
C0298,UPI Fraud,2026-08-04 17:25:00,229339,Chennai,Closed
C0299,Phishing,2026-03-24 11:39:00,80581,Delhi,Closed
C0300,Investment Fraud,2026-08-03 23:47:00,70086,Coimbatore,Closed
C0301,Online Shopping Fraud,2026-07-09 19:18:00,183233,Bengaluru,Closed
C0302,Investment Fraud,2026-06-22 22:11:00,200508,Pune,Closed
C0303,Investment Fraud,2026-01-17 21:22:00,139200,Chennai,Closed
C0304,Job Scam,2026-06-06 21:22:00,53846,Coimbatore,Closed
C0305,Job Scam,2026-07-20 00:53:00,24099,Pune,Closed
C0306,UPI Fraud,2026-05-12 22:14:00,168791,Kochi,Closed
C0307,Job Scam,2026-05-02 23:42:00,125103,Pune,Closed
C0308,Investment Fraud,2026-01-08 18:56:00,707524,Bengaluru,Closed
C0309,Phishing,2026-01-29 11:33:00,109145,Kochi,Closed
C0310,Online Shopping Fraud,2026-03-13 04:18:00,146933,Delhi,Closed
C0311,Investment Fraud,2026-06-13 19:55:00,53132,Hyderabad,Closed
C0312,Job Scam,2026-04-20 15:23:00,450694,Mumbai,Closed
C0313,UPI Fraud,2026-02-05 18:32:00,357708,Chennai,Closed
C0314,Job Scam,2026-07-17 23:49:00,45308,Hyderabad,Closed
C0315,Online Shopping Fraud,2026-08-22 20:44:00,104558,Mumbai,Closed
C0316,Job Scam,2026-03-25 14:01:00,25821,Bengaluru,Closed
C0317,Phishing,2026-02-21 00:15:00,88125,Delhi,Closed
C0318,Job Scam,2026-08-06 05:58:00,44499,Hyderabad,Closed
C0319,UPI Fraud,2026-05-22 04:08:00,193196,Coimbatore,Closed
C0320,UPI Fraud,2026-07-01 04:39:00,35630,Delhi,Closed
C0321,Online Shopping Fraud,2026-06-28 01:37:00,76442,Coimbatore,Closed
C0322,Online Shopping Fraud,2026-03-25 11:00:00,81247,Hyderabad,Closed
C0323,Online Shopping Fraud,2026-04-16 10:17:00,82152,Delhi,Closed
C0324,Job Scam,2026-08-22 19:58:00,11561,Mumbai,Closed
C0325,Phishing,2026-04-24 11:13:00,83131,Kochi,Closed
C0326,Phishing,2026-02-19 01:46:00,438927,Hyderabad,Closed
C0327,Investment Fraud,2026-07-20 16:25:00,80645,Pune,Closed
C0328,Investment Fraud,2026-08-23 06:28:00,783568,Chennai,Closed
C0329,Phishing,2026-08-26 14:28:00,101120,Hyderabad,Closed
C0330,Job Scam,2026-05-09 18:11:00,117171,Kochi,Closed
C0331,Investment Fraud,2026-02-16 17:09:00,63195,Delhi,Closed
C0332,UPI Fraud,2026-01-03 02:05:00,97413,Chennai,Closed
C0333,UPI Fraud,2026-06-06 01:57:00,56536,Pune,Closed
C0334,Investment Fraud,2026-07-28 10:59:00,81547,Pune,Closed
C0335,Online Shopping Fraud,2026-08-11 17:45:00,11993,Chennai,Closed
C0336,Job Scam,2026-03-07 22:43:00,270978,Coimbatore,Closed
C0337,Phishing,2026-07-09 20:12:00,76021,Coimbatore,Closed
C0338,UPI Fraud,2026-02-07 20:31:00,32432,Bengaluru,Closed
C0339,Job Scam,2026-01-14 06:06:00,41128,Mumbai,Closed
C0340,Phishing,2026-02-11 19:42:00,211391,Delhi,Closed
C0341,Job Scam,2026-02-08 21:24:00,178128,Hyderabad,Closed
C0342,Job Scam,2026-01-22 04:09:00,65729,Hyderabad,Closed
C0343,Job Scam,2026-05-18 06:18:00,37617,Chennai,Closed
C0344,Online Shopping Fraud,2026-03-18 12:24:00,82509,Bengaluru,Closed
C0345,UPI Fraud,2026-06-01 12:15:00,176608,Bengaluru,Closed
C0346,UPI Fraud,2026-03-05 02:38:00,74918,Coimbatore,Closed
C0347,Phishing,2026-08-25 04:12:00,42111,Kochi,Closed
C0348,Job Scam,2026-06-05 14:16:00,160717,Bengaluru,Closed
C0349,Job Scam,2026-08-27 04:39:00,129810,Delhi,Closed
C0350,Phishing,2026-06-22 17:52:00,209430,Bengaluru,Closed
C0351,Online Shopping Fraud,2026-07-08 21:32:00,65824,Mumbai,Closed
C0352,Online Shopping Fraud,2026-01-22 18:03:00,56922,Bengaluru,Closed
C0353,Investment Fraud,2026-07-10 11:18:00,28785,Bengaluru,Closed
C0354,Phishing,2026-07-16 23:21:00,35903,Chennai,Closed
C0355,Online Shopping Fraud,2026-02-16 06:26:00,18908,Bengaluru,Closed
C0356,UPI Fraud,2026-01-29 09:11:00,118389,Kochi,Closed
C0357,UPI Fraud,2026-02-03 11:18:00,64665,Pune,Closed
C0358,Job Scam,2026-02-02 06:32:00,97034,Kochi,Closed
C0359,Online Shopping Fraud,2026-05-11 13:06:00,109568,Mumbai,Closed
C0360,Phishing,2026-01-14 21:55:00,74759,Hyderabad,Closed
C0361,UPI Fraud,2026-04-02 07:29:00,127920,Bengaluru,Closed
C0362,Phishing,2026-01-24 16:55:00,34008,Delhi,Closed
C0363,Online Shopping Fraud,2026-07-06 00:24:00,114647,Coimbatore,Closed
C0364,Online Shopping Fraud,2026-03-10 21:25:00,101485,Coimbatore,Closed
C0365,Job Scam,2026-08-15 03:50:00,64933,Bengaluru,Closed
C0366,UPI Fraud,2026-03-19 21:19:00,116961,Pune,Closed
C0367,Phishing,2026-07-06 09:30:00,138624,Coimbatore,Closed
C0368,Investment Fraud,2026-07-27 07:29:00,227806,Hyderabad,Closed
C0369,Investment Fraud,2026-01-14 23:56:00,122730,Coimbatore,Closed
C0370,Job Scam,2026-02-11 00:22:00,379005,Mumbai,Closed
C0371,UPI Fraud,2026-04-19 06:38:00,22930,Coimbatore,Closed
C0372,Online Shopping Fraud,2026-03-10 02:54:00,60661,Chennai,Closed
